"zipcode","neighbour"
"43451","43462"
"43451","43466"
"43451","43402"
"43451","43413"
"43451","43450"
"43452","43420"
"43452","43433"
"43452","43439"
"43452","43440"
"43452","43449"
"43457","43466"
"43457","43467"
"43457","44817"
"43457","44830"
"43457","44841"
"43457","43406"
"43457","43435"
"43458","43432"
"43458","43449"
"43460","43551"
"43460","43605"
"43460","43614"
"43460","43619"
"43460","43609"
"43462","43451"
"43462","43511"
"43462","43569"
"43462","43402"
"43462","43413"
"43463","43551"
"43464","44824"
"43464","44870"
"43464","43410"
"43464","43420"
"43465","43551"
"43465","43619"
"43465","43447"
"43466","43451"
"43466","43457"
"43466","44817"
"43466","43406"
"43466","43413"
"43466","43450"
"43467","43457"
"43467","44817"
"43467","44830"
"43468","43412"
"43468","43445"
"97824","97827"
"97824","97841"
"97824","97850"
"97824","97857"
"97824","97883"
"97825","97848"
"97825","97865"
"97825","97750"
"97826","97836"
"97826","97838"
"97826","97839"
"97826","97868"
"97826","97875"
"97826","97801"
"97827","97824"
"97827","97841"
"97827","97857"
"97827","97876"
"97827","97885"
"97827","97886"
"97828","97846"
"97828","97857"
"97828","97885"
"97828","99347"
"97828","99401"
"97828","99402"
"97830","97874"
"97830","97001"
"97830","97711"
"97830","97750"
"97830","97823"
"97833","97867"
"97833","97814"
"97834","97840"
"97834","97846"
"97834","97870"
"97834","97883"
"97834","97814"
"97835","97838"
"97835","97862"
"97835","99360"
"97835","99363"
"97835","97801"
"97835","97810"
"97835","97813"
"97836","97826"
"97836","97839"
"97836","97843"
"97836","97864"
"97836","97868"
"97836","97823"
"97837","97884"
"97837","97908"
"97837","97814"
"97837","97819"
"97838","97826"
"97838","97835"
"97838","97839"
"97838","97844"
"97838","97875"
"97838","97882"
"97838","99337"
"97838","99346"
"97838","99363"
"97838","97801"
"97838","97818"
"97839","97826"
"97839","97836"
"97839","97838"
"97839","97843"
"97840","97834"
"97840","97842"
"97840","97870"
"97840","83610"
"97840","83612"
"97841","97824"
"97841","97827"
"97841","97850"
"97841","97876"
"97842","97840"
"97842","97846"
"97842","83522"
"97842","83542"
"97842","83549"
"97842","83554"
"97842","83612"
"97843","97836"
"97843","97839"
"97843","99356"
"97843","97812"
"97843","97818"
"97843","97823"
"97844","97838"
"97844","97882"
"97844","99345"
"97844","99346"
"97844","97818"
"97845","97865"
"97845","97869"
"97845","97820"
"97846","97828"
"97846","97834"
"97846","97842"
"97846","97857"
"97846","97883"
"97846","83501"
"97846","83522"
"97846","99402"
"97848","97825"
"97848","97864"
"97848","97874"
"97848","97750"
"97850","97824"
"97850","97841"
"97850","97867"
"97850","97876"
"97850","97883"
"97856","97864"
"97856","97865"
"97856","97880"
"97856","97817"
"97857","97824"
"97857","97827"
"97857","97828"
"97857","97846"
"97857","97883"
"97857","97885"
"97859","97868"
"97859","97801"
"97859","97810"
"97862","97835"
"97862","97886"
"97862","99360"
"97862","99362"
"97862","97813"
"97864","97836"
"97864","97848"
"97864","97856"
"97864","97874"
"97865","97825"
"97865","97845"
"97865","97856"
"97865","97820"
"97867","97833"
"97867","97850"
"97867","97883"
"97867","97814"
"97868","97826"
"97868","97836"
"97868","97859"
"97868","97880"
"97868","97801"
"97869","97845"
"97869","97817"
"97870","97834"
"97870","97840"
"97870","97907"
"97870","83610"
"97870","83672"
"97870","97814"
"97873","97820"
"97874","97830"
"97874","97848"
"97874","97864"
"97874","97750"
"97875","97826"
"97875","97838"
"97875","97801"
"97876","97827"
"97876","97841"
"97876","97850"
"97877","97814"
"97877","97817"
"97880","97856"
"97880","97868"
"97882","97838"
"97882","97844"
"97882","99346"
"97883","97824"
"97883","97834"
"97883","97846"
"97883","97850"
"97883","97857"
"97883","97867"
"97883","97814"
"94118","94121"
"94118","94123"
"94118","94129"
"94118","94115"
"94118","94117"
"94121","94118"
"94121","94122"
"94121","94129"
"94121","94116"
"94121","94117"
"94122","94121"
"94122","94131"
"94122","94116"
"94122","94117"
"94123","94118"
"94123","94129"
"94123","94109"
"94123","94115"
"94124","94134"
"94124","94158"
"94124","94005"
"94124","94107"
"94124","94110"
"94127","94131"
"94127","94132"
"94127","94112"
"94127","94116"
"94128","94030"
"94128","94066"
"94128","94080"
"94129","94118"
"94129","94121"
"94129","94123"
"94131","94122"
"94131","94127"
"94131","94110"
"94131","94112"
"94131","94114"
"94131","94116"
"94131","94117"
"94132","94127"
"94132","94014"
"94132","94015"
"94132","94112"
"94132","94116"
"39531","39532"
"39531","39534"
"39531","39501"
"39531","39503"
"39531","39507"
"39531","39530"
"42409","42437"
"42409","42441"
"42409","42450"
"42409","42455"
"42409","42456"
"42409","42404"
"42409","42406"
"42410","42431"
"48755","48759"
"48755","48720"
"48755","48725"
"48755","48731"
"48755","48754"
"42411","42037"
"42411","42038"
"42411","42445"
"42411","42055"
"42411","42064"
"42413","42431"
"42413","42436"
"42413","42456"
"42413","42371"
"48756","48766"
"48756","48770"
"48756","48610"
"48756","48635"
"48756","48739"
"48756","48659"
"48756","48661"
"48757","48768"
"48757","48601"
"48757","48732"
"48757","48733"
"48757","48734"
"48757","48747"
"39532","39531"
"39532","39540"
"39532","39564"
"39532","39565"
"39532","39574"
"39532","39503"
"39534","39531"
"39534","39530"
"48759","48755"
"48759","48767"
"48759","48720"
"48759","48735"
"48759","48754"
"39540","39532"
"48760","48435"
"48760","48461"
"48760","48727"
"48760","48741"
"48760","48744"
"48761","48635"
"48761","48728"
"48761","48737"
"48761","48739"
"48761","48743"
"48762","48721"
"48762","48742"
"48762","48705"
"48762","49747"
"48762","49766"
"39553","39564"
"39553","39565"
"42420","42451"
"42420","42452"
"42420","42458"
"42420","42301"
"42420","47708"
"42420","47712"
"42420","47713"
"42420","47715"
"42420","42406"
"39556","39571"
"39556","39573"
"39556","39520"
"39556","39525"
"39556","39466"
"48763","48765"
"48763","48770"
"48763","48730"
"48763","48739"
"48763","48748"
"48763","48703"
"48765","48763"
"48765","48766"
"48765","48770"
"48765","48748"
"48765","48703"
"48766","48756"
"48766","48765"
"48766","48770"
"48766","48659"
"48766","48703"
"48766","48749"
"39560","39571"
"39560","39501"
"39560","39503"
"48767","48759"
"48767","48723"
"48767","48726"
"48767","48735"
"48767","48701"
"39561","39573"
"39561","39574"
"42431","42410"
"42431","42413"
"42431","42436"
"42431","42440"
"42431","42441"
"42431","42442"
"42431","42464"
"42431","42325"
"42431","42344"
"42431","42371"
"42431","42372"
"42431","42408"
"42436","42413"
"42436","42431"
"42436","42441"
"42436","42456"
"48768","48757"
"48768","48415"
"48768","48723"
"48768","48733"
"48768","48734"
"48768","48744"
"48768","48746"
"48770","48756"
"48770","48763"
"48770","48765"
"48770","48766"
"48770","48739"
"48770","48748"
"39562","39563"
"39562","39565"
"39562","39581"
"39562","39452"
"39562","36541"
"39562","36587"
"39562","36608"
"42437","42409"
"42437","42459"
"42437","42461"
"42437","42462"
"42437","62919"
"42437","62984"
"42437","42404"
"42437","42406"
"95825","95826"
"95825","95864"
"95825","95815"
"95825","95819"
"95825","95821"
"95826","95825"
"95826","95827"
"95826","95828"
"95826","95829"
"95826","95864"
"95826","95819"
"95826","95820"
"95826","95824"
"95827","95826"
"95827","95829"
"95827","95830"
"95827","95864"
"95827","95608"
"95827","95655"
"95827","95670"
"95828","95826"
"95828","95829"
"95828","95758"
"95828","95823"
"95828","95824"
"95828","95624"
"95829","95826"
"95829","95827"
"95829","95828"
"95829","95830"
"95829","95624"
"95830","95827"
"95830","95829"
"95830","95742"
"95830","95624"
"95830","95655"
"95831","95832"
"95831","95691"
"95831","95822"
"95831","95612"
"95832","95831"
"95832","95758"
"95832","95822"
"95832","95823"
"95832","95612"
"95832","95639"
"95833","95834"
"95833","95838"
"95833","95691"
"95833","95811"
"95833","95815"
"95833","95605"
"33573","33578"
"33573","33579"
"33573","33598"
"33573","33570"
"33573","33572"
"37336","37353"
"37336","37363"
"37336","37308"
"37336","37309"
"37336","37310"
"37336","37312"
"37336","37322"
"33576","34639"
"33576","33525"
"33576","33544"
"33576","33545"
"37337","37723"
"37337","37854"
"37337","37367"
"37337","37381"
"37337","38555"
"37338","37367"
"37338","37373"
"37338","37379"
"37338","37321"
"37338","37327"
"37339","37365"
"37339","37110"
"37339","37374"
"37339","37387"
"37339","37397"
"37339","37305"
"37339","37313"
"37340","37347"
"37340","37380"
"37340","37396"
"37340","37397"
"37340","37419"
"33578","33573"
"33578","33579"
"33578","33619"
"33578","33511"
"33578","33534"
"33578","33569"
"33578","33572"
"37341","37343"
"37341","37363"
"37341","37379"
"37341","37416"
"37341","37308"
"33579","33573"
"33579","33578"
"33579","33598"
"33579","33503"
"33579","33547"
"33579","33569"
"37342","37355"
"37342","37357"
"37342","37366"
